"","lon","lat","type","loctype","address","north","south","east","west","Outcome_St","Direction","Street_Nam","Suffix","Code_Enfor","Property_S","Program_De","Date_of_Ou","Council_Di","Zip_Code","ShapeSTAre","ShapeSTLen","OBJECTID","County_Tax","State_Parc","Address_Nu","Structures","Full_Address"
"14",-86.2867326,41.6975104,"premise","rooftop","1701 n meade st, south bend, in 46628, usa",41.6988802802915,41.6961823197085,-86.2853976697085,-86.2880956302915,"Demolished","N","Meade","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2014-09-05T00:00:00.000Z","2","46628",5966.83221435547,357.683111909422,"15","018-2102-3857","71-03-34-330-028.000-026","1701",NA,"1701 Meade ST South Bend, IN 46628"
"15",-86.2769383,41.6983215,"premise","rooftop","1725 college st, south bend, in 46628, usa",41.6996777802915,41.6969798197085,-86.2755992697085,-86.2782972302915,"Repaired",NA,"College","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2014-08-18T00:00:00.000Z","1","46628",8610.75747680664,405.754458660574,"16","018-2125-4635","71-03-34-431-019.000-026","1725",NA,"1725 College ST South Bend, IN 46628"
"16",-86.2659521,41.6982768,"premise","rooftop","1033 rose st, south bend, in 46616, usa",41.6996354802915,41.6969375197085,-86.2645869197085,-86.2672848802915,NA,"W","Rose","ST","Demo Affirmed w/CP","Bid Awarded - Demolition","Bid Opening - Demo - Dec 12 2017",NA,NA,"46616",5238.81900024414,333.865627047365,"17","018-2141-5291","71-03-35-329-028.000-026","1033","House, Fence","1033 Rose ST South Bend, IN 46616"
"17",-86.2980314,41.6948423,"premise","rooftop","1506 n kenmore st, south bend, in 46628, usa",41.6961979302915,41.6934999697085,-86.2966844197085,-86.2993823802915,"Repaired","N","Kenmore","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2015-12-08T00:00:00.000Z","1","46628",6079.16812133789,339.396658897184,"18","018-2204-7740","71-03-33-476-013.000-026","1506","House, Garage","1506 Kenmore ST South Bend, IN 46628"
"18",-86.2903009,41.6939717,"premise","rooftop","2905 elwood ave, south bend, in 46628, usa",41.6953039802915,41.6926060197085,-86.2889530697085,-86.2916510302915,"Repaired",NA,"Elwood","AVE","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2016-01-15T00:00:00.000Z","1","46628",5029.07586669922,325.125334002078,"19","018-2041-1400","71-03-34-351-013.000-026","2905","House","2905 Elwood AVE South Bend, IN 46628"
"19",-86.2859,41.6951514,"premise","rooftop","1514 n meade st, south bend, in 46628, usa",41.6965150802915,41.6938171197085,-86.2845216197085,-86.2872195802915,"Repaired","N","Meade","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2015-07-17T00:00:00.000Z","2","46619",5317.43026733398,342.521393225994,"20","018-2107-3985","71-03-34-379-004.000-026","1514","House","1514 Meade ST South Bend, IN 46619"
"20",-86.2852773,41.6943842,"street_address","rooftop","1421 fremont st, south bend, in 46628, usa",41.6957331802915,41.6930352197085,-86.2839283197085,-86.2866262802915,"Repaired",NA,"Fremont","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2014-04-11T00:00:00.000Z","1","46628",5560.75720214844,350.987334607924,"21","018-2107-4000","71-03-34-379-026.000-026","1421",NA,"1421 Fremont ST South Bend, IN 46628"
"21",-86.2849507,41.694257,"street_address","rooftop","1413 fremont st, south bend, in 46628, usa",41.6956059802915,41.6929080197085,-86.2836017197085,-86.2862996802915,NA,NA,"Fremont","ST","Repair Expired - Repair Hearing No Show",NA,NA,NA,"1","46628",5193.29678344727,345.540863125107,"22","018-2107-4002","71-03-34-379-027.000-026","1413","House, Garage","1413 Fremont ST South Bend, IN 46628"
"22",-86.2840417,41.6941751,"street_address","rooftop","1405 n olive st, south bend, in 46628, usa",41.6955240802915,41.6928261197085,-86.2826927197085,-86.2853906802915,"Repaired","N","Olive","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2016-01-13T00:00:00.000Z","1","46628",4799.041015625,317.509257462247,"23","018-2108-4034","71-03-34-380-028.000-026","1405","House, Fence, Sheds","1405 Olive ST South Bend, IN 46628"
"23",-86.280428,41.6952081,"premise","rooftop","1515 o brien st, south bend, in 46628, usa",41.6965738802915,41.6938759197085,-86.2790917197085,-86.2817896802915,NA,NA,"O'Brien","ST","Repair Agreement","Repairs Pending",NA,NA,"1","46628",5281.03680419922,344.627968715379,"24","018-2151-5608","71-03-34-457-016.000-026","1515","House","1515 O'Brien ST South Bend, IN 46628"
"24",-86.2799125,41.6945695,"premise","rooftop","1420 o brien st, south bend, in 46628, usa",41.6959256802915,41.6932277197085,-86.2785435197085,-86.2812414802915,"Demolished",NA,"O'Brien","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - Fall 2014","2015-03-27T00:00:00.000Z","1","46628",5100.66448974609,335.03316939322,"25","018-2152-5638","71-03-34-458-010.000-026","1420","House","1420 O'Brien ST South Bend, IN 46628"
"25",-86.2799125,41.6944529,"premise","rooftop","1414 o brien st, south bend, in 46628, usa",41.6958141802915,41.6931162197085,-86.2785565197085,-86.2812544802915,"Demolished",NA,"O'Brien","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - Fall 2016","2016-11-09T00:00:00.000Z","1","46628",5227.54721069336,337.00213571149,"26","018-2152-5640","71-03-34-458-011.000-026","1414","House","1414 O'Brien ST South Bend, IN 46628"
"26",-86.2799125,41.6952303,"premise","rooftop","1514 o brien st, south bend, in 46628, usa",41.6965808302915,41.6938828697085,-86.2785517197085,-86.2812496802915,"Demolished",NA,"O'Brien","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - Fall 2014","2015-04-13T00:00:00.000Z","1","46628",5102.80108642578,335.141519818065,"27","018-2152-5626","71-03-34-458-004.000-026","1514","House","1514 O'Brien ST South Bend, IN 46628"
"27",-86.2799125,41.6949971,"premise","rooftop","1506 o brien st, south bend, in 46628, usa",41.6963622302915,41.6936642697085,-86.2785536697085,-86.2812516302915,"Repaired",NA,"O'Brien","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2014-01-13T00:00:00.000Z","1","46628",5101.90463256836,335.095341451977,"28","018-2152-5630","71-03-34-458-006.000-026","1506",NA,"1506 O'Brien ST South Bend, IN 46628"
"28",-86.2799521,41.6940655,"premise","rooftop","1404 o brien st, south bend, in 46628, usa",41.6954036302915,41.6927056697085,-86.2786004697085,-86.2812984302915,NA,NA,"O'Brien","ST","Demo Hearing Scheduled",NA,NA,NA,NA,"46628",5109.64038085938,317.190685370003,"29","018-2152-5644","71-03-34-458-025.000-026","1404","House, Garage","1404 O'Brien ST South Bend, IN 46628"
"29",-86.2775331,41.6947259,"premise","rooftop","1426 n brookfield st, south bend, in 46628, usa",41.6960584302915,41.6933604697085,-86.2761791697085,-86.2788771302915,"Repaired","N","Brookfield","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2017-04-24T00:00:00.000Z",NA,"46637",5605.15490722656,359.011236498272,"30","018-2154-5696","71-03-34-481-009.000-026","1426","House, Garage, Fence","1426 Brookfield ST South Bend, IN 46637"
"30",-86.276859,41.694743,"premise","rooftop","1427 college st, south bend, in 46628, usa",41.6960913802915,41.6933934197085,-86.2755155697085,-86.2782135302915,"Demolished","N","College","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening- Demo - Nov 19 2015","2016-02-22T00:00:00.000Z","1","46628",6615.85861206055,366.292900742519,"31","018-2154-5697","71-03-34-481-019.000-026","1427","House, Garage, Fence","1427 College ST South Bend, IN 46628"
"31",-86.276859,41.6950151,"premise","rooftop","1509 college st, south bend, in 46628, usa",41.6963716802915,41.6936737197085,-86.2755040697085,-86.2782020302915,"Repaired",NA,"College","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2014-04-23T00:00:00.000Z","1","46628",6749.61337280273,369.137545265309,"32","018-2154-5691","71-03-34-481-017.000-026","1509",NA,"1509 College ST South Bend, IN 46628"
"32",-86.2732501,41.6946263,"premise","rooftop","1421 medora st, south bend, in 46628, usa",41.6959910302915,41.6932930697085,-86.2719118697085,-86.2746098302915,"Demolished",NA,"Medora","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","BEP","2016-04-28T00:00:00.000Z","1","46628",4936.76544189453,324.790916768173,"33","018-2159-5849","71-03-35-355-024.000-026","1421","House, Garage, Fence","1421 Medora ST South Bend, IN 46628"
"33",-86.2732798,41.695084,"premise","rooftop","1509 medora st, south bend, in 46628, usa",41.6964236302915,41.6937256697085,-86.2719384197085,-86.2746363802915,"Repaired",NA,"Medora","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2015-11-05T00:00:00.000Z","1","46628",4787.56140136719,321.879739666649,"34","018-2159-5842","71-03-35-355-020.000-026","1509","House, Garage, Fence","1509 Medora ST South Bend, IN 46628"
"34",-86.2734484,41.6940885,"premise","rooftop","1523 elwood ave, south bend, in 46628, usa",41.6954262802915,41.6927283197085,-86.2720950697085,-86.2747930302915,NA,NA,"Elwood","AVE","Executive Agreement","Repairs Pending",NA,NA,NA,"46628",5044.99295043945,332.250772911064,"35","018-2159-5854","71-03-35-355-030.000-026","1523","House","1523 Elwood AVE South Bend, IN 46628"
"35",-86.2709101,41.6949393,"premise","rooftop","1329 king st, south bend, in 46616, usa",41.6962856802915,41.6935877197085,-86.2695663197085,-86.2722642802915,"Repaired",NA,"King","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2014-01-13T00:00:00.000Z","1","46628",5163.86517333984,325.428193124686,"36","018-2182-6802","71-03-35-359-004.000-026","1329",NA,"1329 King ST South Bend, IN 46628"
"36",-86.2712075,41.6949295,"premise","rooftop","1337 king st, south bend, in 46616, usa",41.6962791302915,41.6935811697085,-86.2698729697085,-86.2725709302915,"Repaired",NA,"King","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2015-07-17T00:00:00.000Z","1","46628",5163.6042175293,326.715087553325,"37","018-2182-6800","71-03-35-359-002.000-026","1337","House, Garage","1337 King ST South Bend, IN 46628"
"37",-86.2706324,41.694114,"premise","rooftop","1317 elwood ave, south bend, in 46628, usa",41.6954519802915,41.6927540197085,-86.2692935697085,-86.2719915302915,"Repaired",NA,"Elwood","AVE","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2014-08-18T00:00:00.000Z","1","46628",5967.08767700195,339.45867564869,"38","018-2182-6825","71-03-35-360-013.000-026","1317",NA,"1317 Elwood AVE South Bend, IN 46628"
"38",-86.2701085,41.6939628,"street_address","rooftop","1305 elwood ave, south bend, in 46628, usa",41.6953117802915,41.6926138197085,-86.2687595197085,-86.2714574802915,"Demolished",NA,"Elwood","AVE","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - Fall 2016","2016-11-09T00:00:00.000Z",NA,"46628",5159.00573730469,324.550852059283,"39","018-2182-6828","71-03-35-360-016.000-026","1305","House, Garage, Fence","1305 Elwood AVE South Bend, IN 46628"
"39",-86.2769779,41.7006936,"premise","rooftop","1849 college st, south bend, in 46628, usa",41.7020433802915,41.6993454197085,-86.2756390197085,-86.2783369802915,NA,NA,"College","ST","Demo Affirmed","Hold",NA,NA,"1","46628",8540.99108886719,405.727340602833,"40","018-2124-4577","71-03-34-427-017.000-026","1849","House","1849 College ST South Bend, IN 46628"
"40",-86.2705135,41.6941102,"premise","rooftop","1315 elwood ave, south bend, in 46628, usa",41.6954507802915,41.6927528197085,-86.2691538697085,-86.2718518302915,"Repaired",NA,"Elwood","AVE","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2014-01-27T00:00:00.000Z","1","46628",5347.71597290039,329.133581272774,"41","018-2182-6826","71-03-35-360-014.000-026","1315",NA,"1315 Elwood AVE South Bend, IN 46628"
"41",-86.2682527,41.6951253,"premise","rooftop","1218 mc cartney st, south bend, in 46616, usa",41.6964824802915,41.6937845197085,-86.2669039197085,-86.2696018802915,"Demolished",NA,"McCartney","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening- Demo - Nov 19 2015","2016-04-16T00:00:00.000Z","1","46616",5171.05944824219,337.142687848764,"42","018-2166-6067","71-03-35-378-013.000-026","1218","House, Shed","1218 McCartney ST South Bend, IN 46616"
"42",-86.2686096,41.6951369,"premise","rooftop","1226 mc cartney st, south bend, in 46616, usa",41.6964814802915,41.6937835197085,-86.2672470197085,-86.2699449802915,"Demolished",NA,"McCartney","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - June 9 2015","2015-09-16T00:00:00.000Z","1","46616",6131.96530151367,352.132637256127,"43","018-2166-6065","71-03-35-378-011.000-026","1226","House","1226 McCartney ST South Bend, IN 46616"
"43",-86.2678164,41.6946059,"premise","rooftop","1205 king st, south bend, in 46616, usa",41.6959370802915,41.6932391197085,-86.2664603697085,-86.2691583302915,"Demolished",NA,"King","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - Fall 2014","2015-04-06T00:00:00.000Z","1","46616",4964.990234375,333.580363460827,"44","018-2166-6082","71-03-35-378-025.000-026","1205","House, Shed, Fence","1205 King ST South Bend, IN 46616"
"44",-86.2684113,41.6951304,"premise","rooftop","1222 mc cartney st, south bend, in 46616, usa",41.6964695302915,41.6937715697085,-86.2670514197085,-86.2697493802915,"Demolished",NA,"McCartney","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - June 9 2015","2015-09-16T00:00:00.000Z","1","46616",5798.41320800781,347.026470785966,"45","018-2166-6066","71-03-35-378-012.000-026","1222","House, Fence","1222 McCartney ST South Bend, IN 46616"
"45",-86.2680725,41.6941704,"street_address","rooftop","1216 king st, south bend, in 46616, usa",41.6955193802915,41.6928214197085,-86.2667235197085,-86.2694214802915,"Demolished",NA,"King","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - June 9 2015","2015-09-22T00:00:00.000Z","1","46616",4515.28005981445,313.55805231516,"46","018-2166-6090","71-03-35-379-007.000-026","1216","House, Fence","1216 King ST South Bend, IN 46616"
"46",-86.2775331,41.6967082,"premise","rooftop","1634 n brookfield st, south bend, in 46628, usa",41.6980435302915,41.6953455697085,-86.2761924197085,-86.2788903802915,"Demolished","N","Brookfield","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - Fall 2014","2015-03-13T00:00:00.000Z","1","46628",5455.80841064453,354.617376772127,"47","018-2156-5752","71-03-34-477-007.000-026","1634","House, Garage","1634 Brookfield ST South Bend, IN 46628"
"47",-86.2811814,41.6972148,"premise","rooftop","1654 huey st, south bend, in 46628, usa",41.6985720302915,41.6958740697085,-86.2798293697085,-86.2825273302915,NA,NA,"Huey","ST","Demo Affirmed","Demo Process: Utility Retirements",NA,NA,"1","46628",5107.97589111328,336.499787558315,"48","018-2149-5532","71-03-34-453-002.000-026","1654","House, Garage","1654 Huey ST South Bend, IN 46628"
"48",-86.278128,41.6972327,"premise","rooftop","1653 n brookfield st, south bend, in 46628, usa",41.6985966302915,41.6958986697085,-86.2767891697085,-86.2794871302915,"Demolished","N","Brookfield","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - June 9 2015","2015-08-27T00:00:00.000Z","1","46628",4884.54592895508,328.489122207035,"49","018-2155-5713","71-03-34-476-017.000-026","1653","House","1653 Brookfield ST South Bend, IN 46628"
"49",-86.2650795,41.6987538,"premise","rooftop","1010 roosevelt st, south bend, in 46616, usa",41.7000911802915,41.6973932197085,-86.2637180197085,-86.2664159802915,"Repaired",NA,"Roosevelt","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2014-11-06T00:00:00.000Z","1","46616",5157.52639770508,336.433349982883,"50","018-2141-5304","71-03-35-329-016.000-026","1010",NA,"1010 Roosevelt ST South Bend, IN 46616"
"50",-86.2694822,41.6969531,"premise","rooftop","1250 kinyon st, south bend, in 46616, usa",41.6982830302915,41.6955850697085,-86.2681286697085,-86.2708266302915,"Demolished",NA,"Kinyon","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","BEP","2015-12-23T00:00:00.000Z","1","46616",4954.40570068359,333.070048348584,"51","018-2164-6004","71-03-35-376-009.000-026","1250","House, Garage","1250 Kinyon ST South Bend, IN 46616"
"51",-86.2691649,41.6969428,"premise","rooftop","1242 kinyon st, south bend, in 46616, usa",41.6982818302915,41.6955838697085,-86.2678259697085,-86.2705239302915,"Repaired",NA,"Kinyon","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2014-11-17T00:00:00.000Z","1","46616",5323.21313476562,338.537191600862,"52","018-2164-6006","71-03-35-376-011.000-026","1242",NA,"1242 Kinyon ST South Bend, IN 46616"
"52",-86.2744795,41.6962986,"premise","rooftop","1609 wilber st, south bend, in 46628, usa",41.6976420302915,41.6949440697085,-86.2731180697085,-86.2758160302915,"Repaired",NA,"Wilber","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2013-10-10T00:00:00.000Z","1","46628",5014.49789428711,332.3411923669,"53","018-2194-7276","71-03-34-479-025.000-026","1609",NA,"1609 Wilber ST South Bend, IN 46628"
"53",-86.2841157,41.6983589,"premise","rooftop","1729 n olive st, south bend, in 46628, usa",41.6997039802915,41.6970060197085,-86.2827862197085,-86.2854841802915,"Demolished","N","Olive","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - June 9 2015","2015-09-22T00:00:00.000Z","1","46628",4776.26281738281,317.829423362565,"54","018-2104-3903","71-03-34-332-019.000-026","1729","House","1729 Olive ST South Bend, IN 46628"
"54",-86.2738449,41.6964335,"premise","rooftop","1614 wilber st, south bend, in 46628, usa",41.6977836802915,41.6950857197085,-86.2725135697085,-86.2752115302915,"Demolished",NA,"Wilber","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete","Bid Opening - Demo - June 9 2015","2015-09-22T00:00:00.000Z","1","46628",6032.04537963867,356.626873288309,"55","018-2194-7294","71-03-35-353-003.000-026","1614","House","1614 Wilber ST South Bend, IN 46628"
"55",-86.2799918,41.6977205,"premise","rooftop","1706 o brien st, south bend, in 46628, usa",41.6990656302915,41.6963676697085,-86.2786241197085,-86.2813220802915,"Repaired",NA,"O'Brien","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2017-08-07T00:00:00.000Z","1","46628",5333.76489257812,337.98684592555,"56","018-2122-4514","71-03-34-408-014.000-026","1706","House","1706 O'Brien ST South Bend, IN 46628"
"56",-86.2811814,41.6996245,"premise","rooftop","1810 huey st, south bend, in 46628, usa",41.7009842802915,41.6982863197085,-86.2798361197085,-86.2825340802915,"Demolished",NA,"Huey","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2014-07-18T00:00:00.000Z","1","46628",4931.42565917969,334.349781351953,"57","018-2120-4421","71-03-34-403-012.000-026","1810",NA,"1810 Huey ST South Bend, IN 46628"
"57",-86.2670627,41.6996731,"premise","rooftop","1126 beale st, south bend, in 46616, usa",41.7010027302915,41.6983047697085,-86.2656955697085,-86.2683935302915,"Repaired",NA,"Beale","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2013-09-06T00:00:00.000Z","1","46616",5168.94766235352,339.540523861296,"58","018-2144-5382","71-03-35-328-003.000-026","1126",NA,"1126 Beale ST South Bend, IN 46616"
"58",-86.2667454,41.6996637,"street_address","range_interpolated","1118 beale st, south bend, in 46616, usa",41.7010126802915,41.6983147197085,-86.2653964197085,-86.2680943802915,"Repaired & Occupied",NA,"Beale","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2015-11-20T00:00:00.000Z","1","46616",5221.72387695312,340.34938841452,"59","018-2144-5386","71-03-35-328-005.000-026","1118","House, Fence","1118 Beale ST South Bend, IN 46616"
"59",-86.2813797,41.7048,"premise","rooftop","2119 bergan st, south bend, in 46628, usa",41.7061521802915,41.7034542197085,-86.2799780697085,-86.2826760302915,"Repaired",NA,"Bergan","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2014-11-03T00:00:00.000Z","1","46628",38850.0738220215,866.785493774459,"60","018-2113-4131","71-03-34-206-017.000-026","2119",NA,"2119 Bergan ST South Bend, IN 46628"
"60",-86.2796349,41.7048214,"premise","rooftop","2005 bergan st, south bend, in 46628, usa",41.7061873802915,41.7034894197085,-86.2782919697085,-86.2809899302915,NA,NA,"Bergan","ST","Repair Deadline Expired",NA,NA,NA,NA,"46628",14154.6902160645,476.996368976108,"61","018-2113-413201","71-03-34-206-024.000-026","2005","House, Garage, Fence","2005 Bergan ST South Bend, IN 46628"
"61",-86.2776918,41.7012608,"premise","rooftop","1866 n brookfield st, south bend, in 46628, usa",41.7026065302915,41.6999085697085,-86.2763270197085,-86.2790249802915,"Demolished","N","Brookfield","ST","In Compliance: Outcome Complete","In Compliance: Outcome Complete",NA,"2014-10-31T00:00:00.000Z","1","46628",6004.6438293457,372.377078088483,"62","018-2124-4556","71-03-34-281-002.000-026","1866","House, Garage","1866 Brookfield ST South Bend, IN 46628"
